,key_id,_id,ltable_id,rtable_id,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating,Label
316,317,166108,892,766,Gotham Bar and Grill,(212) 620-4020,10003,NY,New York,12 E 12th St,0,0,0,Momofuku Milk Bar,(347) 577-9504,10003,NY,New York,251 East 13th Street,0,1,1,0
797,798,13538,160,57,Rootstock Wine & Beer Bar,(773) 292-1616,60622,IL,Chicago,954 N California Ave,0,0,1,The Bongo Room,(773) 489-0690,60622,IL,Chicago,1470 N Milwaukee Avenue,0,1,0,0
699,700,139619,377,627,Hugo’s Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush St,0,1,1,Markethouse,(312) 224-2200,60611,IL,Chicago,611 N. Fairbanks Court,0,1,0,0
103,104,33742,289,142,The Map Room,(773) 252-7636,60647,IL,Chicago,1949 N Hoyne Ave,0,0,0,Map Room,(773) 252-7636,60647,IL,Chicago,1949 N. Hoyne Avenue,0,0,0,1
943,944,345274,2958,1620,Gracias Madre,(415) 683-1346,94110,CA,San Francisco,2211 Mission St,0,1,1,Gracias Madre,(415) 683-1346,94110,CA,San Francisco,2211 Mission District Street,0,1,1,1
1071,1072,225367,1541,1032,Cafe Himalaya,(212) 358-0160,10009,NY,New York,78 E 1st St,1,1,0,Root & Bone,(646) 682-7080,10009,NY,New York,200 E 3rd Street,0,0,1,0
205,206,46917,466,197,Macku Sushi,(773) 880-8012,60614,IL,Chicago,2239 N Clybourn Ave,1,1,0,Toro Sushi,(773) 348-4877,60614,IL,Chicago,2546 N Clark Street,1,1,0,0
953,954,288749,1124,1296,Johny’s Luncheonette,(212) 243-6230,10001,NY,New York,124 W 25th St,1,1,0,Johny's Grill & Luncheonette,(212) 243-6230,10001,NY,New York,124 W 25th Street,1,1,0,1
1067,1068,220049,1600,1009,Da Andrea,(212) 367-1979,10011,NY,New York,35 W 13th St,1,1,1,La Maison du Macaron,(212) 243-2757,10011,NY,New York,132 W 23rd Street,1,1,0,0
641,642,315338,1378,1412,Van Leeuwen Artisan Ice Cream,(646) 476-3865,10003,NY,New York,48 1/2 E 7th St,0,1,0,Vanessa's Dumplings,(212) 529-1328 (212) 529-1329,10003,NY,New York,220 E 14th Street,1,1,0,0
