,key_id,_id,ltable_id,rtable_id,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating,Label
91,92,39224,337,167,The Art of Pizza,(773) 327-5600,60657,IL,Chicago,3033 N Ashland Ave,1,1,0,Art of Pizza,(773) 327-5600,60657,IL,Chicago,3033 North Ashland Avenue,1,1,0,1
881,882,167287,1238,768,Morimoto,(212) 989-8883,10011,NY,New York,88 10th Ave,0,0,0,Morimoto,(212) 989-8883,10011,NY,New York,88 10th Avenue,1,1,0,1
1049,1050,658226,663,3262,Morgan Street Cafe,(312) 850-0234,60607,IL,Chicago,111 S Morgan St,1,1,1,Green Street Smoked Meats,(312) 754-0434,60607,IL,Chicago,112 N Green Street,0,1,0,0
218,219,415889,3043,2073,Stanza Coffee,(415) 553-8966,94103,CA,San Francisco,3126 16th St,0,1,1,Chieftain Irish Restaurant & Pub,(415) 615-0916,94103,CA,San Francisco,198 5th Street,0,0,0,0
277,278,5427,464,21,Bandera Restaurant,(312) 644-3524,60611,IL,Chicago,535 N Michigan Ave,0,1,0,Grand Lux Cafe,(312) 276-2500,60611,IL,Chicago,600 N Michigan Avenue,0,1,0,0
972,973,64866,700,273,North Pond,(773) 477-5845,60614,IL,Chicago,2610 N Cannon Dr,0,0,0,North Pond,(773) 477-5845,60614,IL,Chicago,2610 N. Cannon Drive,0,1,0,1
344,345,403697,2779,2002,Universal Cafe,(415) 821-4608,94110,CA,San Francisco,2814 19th St,0,1,1,Wise Sons,(415) 787-3354,94110,CA,San Francisco,3150 24th Street,0,1,0,0
481,482,93995,356,408,Chicago Pizza And Oven Grinder Company,(773) 248-2570,60614,IL,Chicago,2121 N Clark St,0,1,0,Aloha Eats,(773) 935-6828,60614,IL,Chicago,2534 N. Clark Street,1,1,0,0
647,648,3679,285,14,Pasta Palazzo,(773) 248-1400,60614,IL,Chicago,1966 N Halsted St,0,1,0,Chicago Pizza & Oven Grinder Company,(773) 248-2570,60614,IL,Chicago,2121 N Clark Street,0,1,0,0
1032,1033,118512,160,523,Rootstock Wine & Beer Bar,(773) 292-1616,60622,IL,Chicago,954 N California Ave,0,0,1,Black Dog Gelato,(773) 235-3116,60622,IL,Chicago,859 N. Damen Avenue,0,1,1,0
343,344,190337,1301,883,Blue Ribbon Sushi,(212) 343-0404,10012,NY,New York,119 Sullivan St,0,1,0,Blue Ribbon Sushi,(212) 343-0404,10012,NY,New York,119 Sullivan Street,0,1,0,1
283,284,175629,1302,803,Clinton Street Baking Company,(646) 602-6263,10002,NY,New York,4 Clinton St,1,1,0,Stanton Social,(212) 995-0099,10002,NY,New York,99 Stanton Street,0,0,0,0
934,935,353211,2945,1684,The Lodge on Haight,(415) 872-9502,94117,CA,San Francisco,400 Haight Street,0,1,0,Rosamunde Sausage Grill,(415) 437-6851,94117,CA,San Francisco,545 Haight Street,0,0,0,0
37,38,195013,948,901,McSorley’s Old Ale House,(212) 473-9148,10003,NY,New York,15 E 7th St,0,0,0,Motorino,(212) 777-2644,10003,NY,New York,349 E 12th Street,1,1,0,0
987,988,287254,1055,1291,ABC Kitchen,(212) 475-5829,10003,NY,New York,35 E 18th St,0,0,0,Degustation,(212) 979-1012,10003,NY,New York,239 E 5th Street,0,0,0,0
82,83,97292,31,418,The Wormhole Coffee,(773) 661-2468,60622,IL,Chicago,1462 N Milwaukee Ave,0,1,1,The Silver Palm,(312) 666-9322,60622,IL,Chicago,768 N. Milwaukee Avenue,0,1,0,0
511,512,188430,1469,869,Strip House,(212) 328-0000,10003,NY,New York,13 E 12th St,0,0,0,McSorley's Old Ale House,(212) 473-9148,10003,NY,New York,15 E 7th Street,0,0,0,0
976,977,283146,1585,1272,La Grenouille,(212) 752-1495,10022,NY,New York,3 E 52nd St,0,0,0,La Grenouille,(212) 752-1495,10022,NY,New York,3 E 52nd Street,0,1,0,1
512,513,188360,948,869,McSorley’s Old Ale House,(212) 473-9148,10003,NY,New York,15 E 7th St,0,0,0,McSorley's Old Ale House,(212) 473-9148,10003,NY,New York,15 E 7th Street,0,0,0,1
811,812,382840,2801,1874,Manora’s Thai Cuisine,(415) 861-6224,94103,CA,San Francisco,1600 Folsom St,1,1,0,Basil Thai Restaurant & Bar,(415) 552-8999,94103,CA,San Francisco,1175 Folsom Street,0,1,0,0
361,362,150791,209,690,Doc B’s Fresh Kitchen,(312) 626-1300,60611,IL,Chicago,100 E Walton St,1,1,1,Hendrickx Belgian Bread Crafter,(312) 649-6717,60611,IL,Chicago,1100 E Walton Street Walton Colonnade,0,1,1,0
165,166,338199,2832,1556,Mission Pie,(415) 282-1500,94110,CA,San Francisco,2901 Mission St,0,1,0,Dynamo Donuts & Coffee,(415) 920-1978,94110,CA,San Francisco,2760 24th Street,0,1,0,0
574,575,258477,1315,1162,Samba Kitchen & Bar,(212) 256-0170,10036,NY,New York,661 9th Ave,0,1,0,Bali Nusa Indah,(212) 265-2200,10036,NY,New York,651 9th Avenue,1,1,0,0
358,359,53067,410,220,Bite Café,(773) 395-2483,60622,IL,Chicago,1035 N Western Ave,0,1,0,Bite Cafe,(773) 395-2483,60622,IL,Chicago,1039 N Western Avenue,0,1,0,1
535,536,28955,418,125,Roy’s - Chicago,(312) 787-7599,60654,IL,Chicago,720 N State St,0,0,1,Chicago Cut Steakhouse,(312) 329-1800,60654,IL,Chicago,300 N LaSalle Street,0,1,0,0
152,153,262818,1020,1173,B Side Pizza & Wine Bar,(646) 679-7225,10019,NY,New York,370 W 51st St,0,1,0,China Grill,(212) 333-7788,10019,NY,New York,60 West 53rd Street,0,1,1,0
324,325,295668,1585,1335,La Grenouille,(212) 752-1495,10022,NY,New York,3 E 52nd St,0,0,0,Papillon Bistro & Bar,(212) 754-9006,10022,NY,New York,22 E 54th Street,0,1,1,0
945,946,2326,29,10,Girl & the Goat,(312) 492-6262,60607,IL,Chicago,809 W Randolph St,0,0,1,Little Goat Diner,(312) 888-3455,60607,IL,Chicago,820 W Randolph Street,0,1,1,0
234,235,380762,2931,1857,Pork Store Cafe,(415) 864-6981,94117,CA,San Francisco,1451 Haight St,0,1,0,Escape From New York Pizza,(415) 668-5577,94117,CA,San Francisco,1737 Haight Street,1,1,0,0
4,5,414536,2764,2063,El Techo,(415) 550-6970,94110,CA,San Francisco,2518 Mission St,0,1,1,El Techo de Lolinda,(415) 550-6970,94110,CA,San Francisco,2518 Mission District Street,0,0,1,1
490,491,388802,2491,1918,El Farolito,(415) 824-7877,94110,CA,San Francisco,2779 Mission St,0,1,0,El Farolito,(415) 824-7877,94110,CA,San Francisco,2779 Mission District Street,0,1,0,1
715,716,107199,751,454,Kiki’s Bistro,(312) 335-5454,60610,IL,Chicago,900 N Franklin St,0,1,1,Mr. Beef,(312) 337-8500,60610,IL,Chicago,666 N. Orleans Street,0,1,0,0
409,410,1732,254,9,Kuma’s Corner,(773) 604-8769,60618,IL,Chicago,2900 W Belmont Ave,0,1,1,Kuma's Corner,(773) 604-8769,60618,IL,Chicago,2900 W Belmont Avenue,0,1,1,1
67,68,109006,201,468,Toro Sushi,(773) 348-7255,60614,IL,Chicago,2546 N Clark St,0,1,0,Riccardo Trattoria,(773) 549-0038,60614,IL,Chicago,2119 N. Clark Street,0,1,0,0
162,163,338187,2779,1556,Universal Cafe,(415) 821-4608,94110,CA,San Francisco,2814 19th St,0,1,1,Dynamo Donuts & Coffee,(415) 920-1978,94110,CA,San Francisco,2760 24th Street,0,1,0,0
788,789,69994,31,301,The Wormhole Coffee,(773) 661-2468,60622,IL,Chicago,1462 N Milwaukee Ave,0,1,1,Native Foods Café,(773) 489-8480,60622,IL,Chicago,1484 N Milwaukee Avenue,1,1,1,0
595,596,650030,625,3231,Francesca’s on Taylor,(312) 829-2828,60607,IL,Chicago,1400 W Taylor St,0,1,0,Al's Italian Beef,(312) 226-4017,60607,IL,Chicago,1079 W Taylor Street,0,1,1,0
632,633,455228,2770,2358,Amélie,(415) 292-6916,94109,CA,San Francisco,1754 Polk St,0,0,0,Amelie,(415) 292-6916,94109,CA,San Francisco,1754 Polk Street,0,0,0,1
286,287,439371,3061,2243,Eureka Restaurant & Lounge,(415) 431-6000,94114,CA,San Francisco,4063 18th St,0,1,0,Zapata,(415) 861-4470,94114,CA,San Francisco,4150 18th Street,0,1,0,0
957,958,97750,427,419,Ground Control,(773) 772-9446,60647,IL,Chicago,3315 W Armitage Ave,1,1,1,El Cid,(773) 395-0505,60647,IL,Chicago,2645 N Kedzie Avenue,0,1,1,0
541,542,132096,603,586,Nico Osteria,(312) 994-7100,60611,IL,Chicago,1015 N Rush St,0,0,1,Nico Osteria - Thomson Hotels Chicago,(312) 994-7100,60611,IL,Chicago,1015 N. Rush Street,0,0,1,1
592,593,354122,3047,1690,Atlas Cafe,(415) 648-1047,94110,CA,San Francisco,3049 20th St,0,1,1,Papalote,(415) 970-8815,94110,CA,San Francisco,3409 24th Street,0,1,0,0
509,510,200910,1248,924,Malatesta Trattoria,(212) 741-1207,10014,NY,New York,649 Washington St,0,1,1,Santina,(212) 254-3000,10014,NY,New York,820 Washington Street,0,0,0,0
979,980,383699,2847,1886,Sons & Daughters,(415) 391-8311,94108,CA,San Francisco,708 Bush St,0,0,0,Sons & Daughters,(415) 391-8311,94108,CA,San Francisco,708 Bush Street,0,0,0,1
827,828,202713,1500,935,Benito One,(212) 226-9171,10013,NY,New York,174 Mulberry St,0,1,1,Grotta Azzurra Ristorante,(212) 925-8775,10013,NY,New York,177 Mulberry Street,1,1,1,0
58,59,17042,477,74,Enso Sushi &  Bar,(773) 878-8998,60647,IL,Chicago,1613 N Damen Ave,1,1,0,Sultan's Market,(773) 235-3072,60647,IL,Chicago,2057 W North Avenue,1,1,0,0
545,546,158829,1276,729,Westville - West,(212) 741-7971,10014,NY,New York,210 W 10th St,1,1,0,Spice Market,(212) 675-2322,10014,NY,New York,403 W 13th Street,1,1,1,0
601,602,677302,1624,3330,The Crumpet Shop,(206) 682-1598,98101,WA,Seattle,1503 1st Ave,0,1,1,The Crumpet Shop,(206) 682-1598,98101,WA,Seattle,1503 1st Avenue Pike Place Market,0,1,1,1
818,819,29313,467,126,Mon Ami Gabi,(773) 348-8886,60614,IL,Chicago,2300 N Lincoln Park W,1,1,1,Mon Ami Gabi,(773) 348-8886,60614,IL,Chicago,2300 N. Lincoln Park West,0,1,1,1
180,181,64974,526,274,Bacino’s of Lincoln Park,(773) 472-7400,60614,IL,Chicago,2204 N Lincoln Ave,1,1,0,Perennial Virant - Hotel Lincoln,(312) 981-7070,60614,IL,Chicago,1800 N Lincoln Avenue,0,0,1,0
