,_id,ltable_id,rtable_id,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating
56,56,2560,1880,Chantal Guillon,(415) 512-1020,94103.0,CA,San Francisco,1309 Howard St,1,1,0,Pakwan,(415) 255-2440,94103.0,CA,San Francisco,3182 16th Street,0,1,1
82,82,2242,3295,Voula’s Offshore Cafe,(206) 634-0183,98105.0,WA,Seattle,658 NE Northlake Way,0,1,0,Taste of India,(206) 528-1575,98105.0,WA,Seattle,5517 Roosevelt Way NE,1,1,1
88,88,1868,3295,Taste of India,(206) 528-1575,98105.0,WA,Seattle,5517 Roosevelt Way NE,1,1,1,Taste of India,(206) 528-1575,98105.0,WA,Seattle,5517 Roosevelt Way NE,1,1,1
299,299,2311,3355,Oliver’s Twist,(206) 706-6673,98103.0,WA,Seattle,6822 Greenwood Ave N,0,0,0,Gorgeous George's,(206) 783-0116,98103.0,WA,Seattle,7719 Greenwood Avenue N,0,0,0
319,319,1960,3355,Uneeda Burger,(206) 547-2600,98103.0,WA,Seattle,4302 Fremont Ave N,0,1,1,Gorgeous George's,(206) 783-0116,98103.0,WA,Seattle,7719 Greenwood Avenue N,0,0,0
328,328,2385,3355,Martino’s,(206) 397-4689,98103.0,WA,Seattle,7410 Greenwood Ave,0,1,0,Gorgeous George's,(206) 783-0116,98103.0,WA,Seattle,7719 Greenwood Avenue N,0,0,0
337,337,2286,3345,La Isla Cuisine,(206) 789-0516,98107.0,WA,Seattle,2320 NW Market St,1,1,1,Cupcake Royale,(206) 701-6238,98107.0,WA,Seattle,2052 NW Market Street,1,0,1
372,372,2358,3345,Pie Bar Ballard,(206) 535-8489,98107.0,WA,Seattle,2218 NW Market St,0,1,0,Cupcake Royale,(206) 701-6238,98107.0,WA,Seattle,2052 NW Market Street,1,0,1
547,547,2660,2312,Corridor Cafe,(415) 400-4979,94102.0,CA,San Francisco,100 Van Ness Ave,0,1,1,Max's Opera Cafe,(415) 771-7300,94102.0,CA,San Francisco,601 Van Ness Avenue,0,1,0
676,676,1819,3327,Crow,(206) 283-8800,98109.0,WA,Seattle,823 5th Ave N,0,1,0,Crow,(206) 283-8800,98109.0,WA,Seattle,823 5th Avenue North,0,1,0
692,692,58,144,Fatso’s Last Stand,(773) 245-3287,60622.0,IL,Chicago,2258 W Chicago Ave,1,1,1,Yuzu Sushi and Robata Grill,(312) 666-4100,60622.0,IL,Chicago,1751 W Chicago Avenue,0,1,1
693,693,62,144,Yuzu Sushi & Robata Grill,(312) 666-4100,60622.0,IL,Chicago,1751 W Chicago Ave,1,1,0,Yuzu Sushi and Robata Grill,(312) 666-4100,60622.0,IL,Chicago,1751 W Chicago Avenue,0,1,1
707,707,200,144,Piece Brewery and Pizzeria,(773) 772-4422,60622.0,IL,Chicago,1927 W North Ave,1,1,0,Yuzu Sushi and Robata Grill,(312) 666-4100,60622.0,IL,Chicago,1751 W Chicago Avenue,0,1,1
721,721,322,144,The Bongo Room,(773) 489-0690,60622.0,IL,Chicago,1470 N Milwaukee Ave,0,1,0,Yuzu Sushi and Robata Grill,(312) 666-4100,60622.0,IL,Chicago,1751 W Chicago Avenue,0,1,1
722,722,328,144,Antique Taco,(773) 687-8697,60622.0,IL,Chicago,1360 N Milwaukee Ave,0,1,1,Yuzu Sushi and Robata Grill,(312) 666-4100,60622.0,IL,Chicago,1751 W Chicago Avenue,0,1,1
731,731,414,144,Lockdown Bar &  Grill,(773) 451-5625,60622.0,IL,Chicago,1024 N Western Ave,1,1,1,Yuzu Sushi and Robata Grill,(312) 666-4100,60622.0,IL,Chicago,1751 W Chicago Avenue,0,1,1
736,736,494,144,ARAMI,(312) 243-1535,60622.0,IL,Chicago,1829 W Chicago Ave,1,1,0,Yuzu Sushi and Robata Grill,(312) 666-4100,60622.0,IL,Chicago,1751 W Chicago Avenue,0,1,1
755,755,640,144,Happy Village,(773) 486-1512,60622.0,IL,Chicago,1059 N Wolcott Ave,0,0,1,Yuzu Sushi and Robata Grill,(312) 666-4100,60622.0,IL,Chicago,1751 W Chicago Avenue,0,1,1
906,906,1097,898,Buddakan,(212) 989-6699,10011.0,NY,New York,75 9th Ave,0,0,0,Blossom,(212) 627-1144,10011.0,NY,New York,187 9th Avenue,0,1,0
1039,1039,807,898,Los Tacos No.1,(212) 256-0343,10011.0,NY,New York,75 9th Ave,0,1,0,Blossom,(212) 627-1144,10011.0,NY,New York,187 9th Avenue,0,1,0
1051,1051,1083,898,Blossom,(212) 627-1144,10011.0,NY,New York,187 9th Ave,1,1,0,Blossom,(212) 627-1144,10011.0,NY,New York,187 9th Avenue,0,1,0
1083,1083,2446,1534,Little Star Pizza,(415) 441-1118,94117.0,CA,San Francisco,846 Divisadero St,0,1,0,Nopa,(415) 864-8643,94117.0,CA,San Francisco,560 Divisadero Street,0,0,0
1086,1086,2492,1534,Nopa,(415) 864-8643,94117.0,CA,San Francisco,560 Divisadero St,0,0,0,Nopa,(415) 864-8643,94117.0,CA,San Francisco,560 Divisadero Street,0,0,0
1108,1108,2966,1534,Nopalito,(415) 437-0303,94117.0,CA,San Francisco,306 Broderick St,0,1,1,Nopa,(415) 864-8643,94117.0,CA,San Francisco,560 Divisadero Street,0,0,0
1112,1112,3024,1534,Ragazza,(415) 255-1133,94117.0,CA,San Francisco,311 Divisadero St,0,1,1,Nopa,(415) 864-8643,94117.0,CA,San Francisco,560 Divisadero Street,0,0,0
1135,1135,2286,3283,La Isla Cuisine,(206) 789-0516,98107.0,WA,Seattle,2320 NW Market St,1,1,1,La Carta de Oaxaca,(206) 782-8722,98107.0,WA,Seattle,5431 Ballard Avenue NW,0,1,1
1137,1137,2339,3283,La Carta de Oaxaca,(206) 782-8722,98107.0,WA,Seattle,5431 Ballard Ave NW,0,1,1,La Carta de Oaxaca,(206) 782-8722,98107.0,WA,Seattle,5431 Ballard Avenue NW,0,1,1
1162,1162,2022,3283,Veraci Pizza,(206) 525-1813,98107.0,WA,Seattle,500 NW Market St,0,1,0,La Carta de Oaxaca,(206) 782-8722,98107.0,WA,Seattle,5431 Ballard Avenue NW,0,1,1
1688,1688,710,38,Blaze Fast-Fire’d Pizza,(312) 255-1290,60611.0,IL,Chicago,227 E Ontario St,0,1,1,Pizzeria Uno,(312) 321-1000,60611.0,IL,Chicago,29 E Ohio Street,1,1,1
1690,1690,251,38,Robert’s Pizza Company,(708) 536-4597,60611.0,IL,Chicago,355 E Ohio St,0,1,0,Pizzeria Uno,(312) 321-1000,60611.0,IL,Chicago,29 E Ohio Street,1,1,1
2327,2327,2933,2049,Rossi’s Delicatessen,(415) 863-4533,94114.0,CA,San Francisco,426 Castro St,0,1,0,Harvey's,(415) 431-4278,94114.0,CA,San Francisco,500 Castro Street,0,1,0
2360,2360,2833,1600,Golden Boy Pizza,(415) 982-9738,94133.0,CA,San Francisco,542 Green St,0,1,0,Golden Boy Pizza,(415) 982-9738,94133.0,CA,San Francisco,542 Green Street,0,1,0
2572,2572,31,12,The Wormhole Coffee,(773) 661-2468,60622.0,IL,Chicago,1462 N Milwaukee Ave,0,1,1,Piece,(773) 772-4422,60622.0,IL,Chicago,1927 W North Avenue,1,1,0
2592,2592,200,12,Piece Brewery and Pizzeria,(773) 772-4422,60622.0,IL,Chicago,1927 W North Ave,1,1,0,Piece,(773) 772-4422,60622.0,IL,Chicago,1927 W North Avenue,1,1,0
2660,2660,722,12,Francesca’s Cafe,(630) 407-4641,60622.0,IL,Chicago,852 N Damen Ave,0,1,1,Piece,(773) 772-4422,60622.0,IL,Chicago,1927 W North Avenue,1,1,0
2987,2987,1184,1169,Degustation,(212) 979-1012,10003.0,NY,New York,239 E 5th St,0,0,0,Spot Dessert Bar,(212) 673-6745,10003.0,NY,New York,13 St. Marks Place,1,1,1
3001,3001,892,1169,Gotham Bar and Grill,(212) 620-4020,10003.0,NY,New York,12 E 12th St,0,0,0,Spot Dessert Bar,(212) 673-6745,10003.0,NY,New York,13 St. Marks Place,1,1,1
3003,3003,1266,1169,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 E 10th St,0,0,0,Spot Dessert Bar,(212) 673-6745,10003.0,NY,New York,13 St. Marks Place,1,1,1
3009,3009,1305,1169,Sake Bar Decibel,(212) 979-2733,10003.0,NY,New York,240 E 9th St,0,0,0,Spot Dessert Bar,(212) 673-6745,10003.0,NY,New York,13 St. Marks Place,1,1,1
3011,3011,1311,1169,Graffiti Food & Wine Bar,(212) 677-0695,10003.0,NY,New York,224 E 10th St,0,0,0,Spot Dessert Bar,(212) 673-6745,10003.0,NY,New York,13 St. Marks Place,1,1,1
3023,3023,1400,1169,Spot Dessert Bar,(212) 677-5670,10003.0,NY,New York,13 St Marks Pl,0,1,0,Spot Dessert Bar,(212) 673-6745,10003.0,NY,New York,13 St. Marks Place,1,1,1
3138,3138,1230,784,The Meatball Shop,(212) 982-8895,10002.0,NY,New York,84 Stanton St,1,1,1,The Meatball Shop,(212) 982-8895,10002.0,NY,New York,84 Stanton Street,0,0,1
3249,3249,948,1074,McSorley’s Old Ale House,(212) 473-9148,10003.0,NY,New York,15 E 7th St,0,0,0,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 East 10th Street,0,0,0
3282,3282,1184,1074,Degustation,(212) 979-1012,10003.0,NY,New York,239 E 5th St,0,0,0,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 East 10th Street,0,0,0
3289,3289,892,1074,Gotham Bar and Grill,(212) 620-4020,10003.0,NY,New York,12 E 12th St,0,0,0,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 East 10th Street,0,0,0
3290,3290,1266,1074,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 E 10th St,0,0,0,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 East 10th Street,0,0,0
3291,3291,1305,1074,Sake Bar Decibel,(212) 979-2733,10003.0,NY,New York,240 E 9th St,0,0,0,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 East 10th Street,0,0,0
3293,3293,1311,1074,Graffiti Food & Wine Bar,(212) 677-0695,10003.0,NY,New York,224 E 10th St,0,0,0,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 East 10th Street,0,0,0
3302,3302,1400,1074,Spot Dessert Bar,(212) 677-5670,10003.0,NY,New York,13 St Marks Pl,0,1,0,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 East 10th Street,0,0,0
3312,3312,1469,1074,Strip House,(212) 328-0000,10003.0,NY,New York,13 E 12th St,0,0,0,ChikaLicious Dessert Bar,(212) 995-9511,10003.0,NY,New York,203 East 10th Street,0,0,0
3348,3348,2410,1639,b. Patisserie,(415) 440-1700,94115.0,CA,San Francisco,2821 California St,0,1,1,Pizzeria Delfina,(415) 440-1189,94115.0,CA,San Francisco,2406 California Street,0,1,1
3372,3372,2965,1639,Pizzeria Delfina,(415) 440-1189,94115.0,CA,San Francisco,2406 California St,0,1,1,Pizzeria Delfina,(415) 440-1189,94115.0,CA,San Francisco,2406 California Street,0,1,1
3900,3900,2744,1792,Limón Rotisserie,(415) 821-2134,94110.0,CA,San Francisco,1001 S Van Ness Ave,0,1,0,Limon Rotisserie,(415) 821-2134,94110.0,CA,San Francisco,1001 South Van Ness Avenue,0,1,0
3926,3926,2878,1792,Cafeto Coffee Shop,(415) 970-9090,94110.0,CA,San Francisco,111 Richland Ave,0,1,1,Limon Rotisserie,(415) 821-2134,94110.0,CA,San Francisco,1001 South Van Ness Avenue,0,1,0
3936,3936,3029,1792,Wild Side West,(415) 647-3099,94110.0,CA,San Francisco,424 Cortland Ave,0,0,1,Limon Rotisserie,(415) 821-2134,94110.0,CA,San Francisco,1001 South Van Ness Avenue,0,1,0
3938,3938,3066,1792,Mae Krua,(415) 574-7334,94110.0,CA,San Francisco,331 Cortland Ave,0,1,0,Limon Rotisserie,(415) 821-2134,94110.0,CA,San Francisco,1001 South Van Ness Avenue,0,1,0
4090,4090,820,800,Prince Street Pizza,(212) 966-4100,10012.0,NY,New York,27 Prince St,1,1,0,Rice To Riches,(212) 274-0008,10012.0,NY,New York,37 Spring Street,1,1,0
4149,4149,2940,1673,Pacific Catch,(415) 440-1950,94123.0,CA,San Francisco,2027 Chestnut St,1,1,1,Mamacita,(415) 346-8494,94123.0,CA,San Francisco,2317 Chestnut Street,0,1,0
