key_id,_id,ltable_id,rtable_id,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating
1,13168,661,55,Oasis Cafe,(312) 443-9534,60602,IL,Chicago,21 N Wabash Ave,0,1,0,Heaven on Seven,(312) 263-6443,60602,IL,Chicago,111 N Wabash Avenue Garland Building,0,1,0
2,414520,2640,2063,La Taqueria,(415) 285-7117,94110,CA,San Francisco,2889 Mission St,0,1,1,El Techo de Lolinda,(415) 550-6970,94110,CA,San Francisco,2518 Mission District Street,0,0,1
3,414500,2491,2063,El Farolito,(415) 824-7877,94110,CA,San Francisco,2779 Mission St,0,1,0,El Techo de Lolinda,(415) 550-6970,94110,CA,San Francisco,2518 Mission District Street,0,0,1
4,414526,2659,2063,Taqueria Cancún,(415) 252-9560,94110,CA,San Francisco,2288 Mission St,0,1,0,El Techo de Lolinda,(415) 550-6970,94110,CA,San Francisco,2518 Mission District Street,0,0,1
5,414536,2764,2063,El Techo,(415) 550-6970,94110,CA,San Francisco,2518 Mission St,0,1,1,El Techo de Lolinda,(415) 550-6970,94110,CA,San Francisco,2518 Mission District Street,0,0,1
6,414570,3048,2063,La Santaneca,(415) 648-1034,94110,CA,San Francisco,3781 Mission St,0,1,0,El Techo de Lolinda,(415) 550-6970,94110,CA,San Francisco,2518 Mission District Street,0,0,1
7,454721,2739,2354,The Little Chihuahua,(415) 255-8225,94117,CA,San Francisco,292 Divisadero St,0,1,0,Bean Bag Cafe,(415) 563-3634,94117,CA,San Francisco,601 Divisadero Street,0,0,1
8,454720,2736,2354,Mojo Bicycle Café,(415) 440-2338,94117,CA,San Francisco,639 Divisadero St,0,1,1,Bean Bag Cafe,(415) 563-3634,94117,CA,San Francisco,601 Divisadero Street,0,0,1
9,454723,2798,2354,Bean Bag Cafe,(415) 563-3634,94117,CA,San Francisco,601 Divisadero St,0,1,1,Bean Bag Cafe,(415) 563-3634,94117,CA,San Francisco,601 Divisadero Street,0,0,1
10,46198,285,194,Pasta Palazzo,(773) 248-1400,60614,IL,Chicago,1966 N Halsted St,0,1,0,Summer House Santa Monica,(773) 634-4100,60614,IL,Chicago,1954 N Halsted Street,0,1,1
11,46208,356,194,Chicago Pizza And Oven Grinder Company,(773) 248-2570,60614,IL,Chicago,2121 N Clark St,0,1,0,Summer House Santa Monica,(773) 634-4100,60614,IL,Chicago,1954 N Halsted Street,0,1,1
12,46256,562,194,Blue Door Farm Stand,(312) 265-0259,60614,IL,Chicago,2010 N Halsted St,0,1,0,Summer House Santa Monica,(773) 634-4100,60614,IL,Chicago,1954 N Halsted Street,0,1,1
13,46271,654,194,Summer House,(773) 634-4100,60614,IL,Chicago,1954 N Halsted St,0,1,1,Summer House Santa Monica,(773) 634-4100,60614,IL,Chicago,1954 N Halsted Street,0,1,1
14,347889,2758,1646,The Monk’s Kettle,(415) 865-9523,94103,CA,San Francisco,3141 16th St,0,1,1,Pancho Villa Taqueria,(415) 864-8840,94103,CA,San Francisco,3071 16th Street,0,1,0
15,347906,3043,1646,Stanza Coffee,(415) 553-8966,94103,CA,San Francisco,3126 16th St,0,1,1,Pancho Villa Taqueria,(415) 864-8840,94103,CA,San Francisco,3071 16th Street,0,1,0
16,347897,2901,1646,Pancho Villa Taqueria,(415) 864-8840,94103,CA,San Francisco,3071 16th St,0,1,0,Pancho Villa Taqueria,(415) 864-8840,94103,CA,San Francisco,3071 16th Street,0,1,0
17,672554,1733,3318,Nishino,(206) 322-5800,98112,WA,Seattle,3130 E Madison St,0,1,0,Nishino,(206) 322-5800,98112,WA,Seattle,3130 East Madison Street,0,1,0
18,648771,293,3224,Gibsons Bar & Steakhouse,(312) 266-8999,60611,IL,Chicago,1028 N Rush St,0,1,1,Friends Sushi,(312) 787-8998,60611,IL,Chicago,710 North Rush Street,0,1,1
19,648777,377,3224,Hugo’s Frog Bar & Fish House,(312) 640-0999,60611,IL,Chicago,1024 N Rush St,0,1,1,Friends Sushi,(312) 787-8998,60611,IL,Chicago,710 North Rush Street,0,1,1
20,648788,721,3224,Friends Sushi,(312) 787-8998,60611,IL,Chicago,710 N Rush St,1,1,1,Friends Sushi,(312) 787-8998,60611,IL,Chicago,710 North Rush Street,0,1,1
21,218614,1020,1004,B Side Pizza & Wine Bar,(646) 679-7225,10019,NY,New York,370 W 51st St,0,1,0,Bill's Bar & Burger,(212) 705-8510 (646) 439-1475,10019,NY,New York,16 W 51st Street,1,1,0
22,218638,1349,1004,Bengal Tiger Indian Food,(212) 265-2703,10019,NY,New York,58 W 56th St,1,1,0,Bill's Bar & Burger,(212) 705-8510 (646) 439-1475,10019,NY,New York,16 W 51st Street,1,1,0
23,135394,708,603,Grange Hall Burger Bar,(312) 491-0844,60607,IL,Chicago,844 W Randolph St,1,1,1,Nia Mediterranean,(312) 226-3110,60607,IL,Chicago,803 W. Randolph Street,1,1,1
24,135397,782,603,Lou Malnati’s Pizzeria,(312) 243-4000,60607,IL,Chicago,1235 W Randolph St,1,1,1,Nia Mediterranean,(312) 226-3110,60607,IL,Chicago,803 W. Randolph Street,1,1,1
25,135381,313,603,The Publican,(312) 733-9555,60607,IL,Chicago,837 W Fulton Market,0,0,1,Nia Mediterranean,(312) 226-3110,60607,IL,Chicago,803 W. Randolph Street,1,1,1
26,95888,376,414,Aje Cafe,(773) 472-2233,60657,IL,Chicago,2942 N Clark St,0,1,0,Kanela Breakfast Club,(773) 248-1622,60657,IL,Chicago,3231 N. Clark Street,1,1,0
27,95873,315,414,Wheat’s End Cafe,(773) 770-3527,60657,IL,Chicago,2873 N Broadway St,0,1,0,Kanela Breakfast Club,(773) 248-1622,60657,IL,Chicago,3231 N. Clark Street,1,1,0
28,95904,471,414,Dimo’s Pizza,(773) 525-4580,60657,IL,Chicago,3463 N Clark St,1,1,0,Kanela Breakfast Club,(773) 248-1622,60657,IL,Chicago,3231 N. Clark Street,1,1,0
29,95911,500,414,Bobtail Ice Cream Company,(773) 880-7372,60657,IL,Chicago,2951 N Broadway St,0,1,1,Kanela Breakfast Club,(773) 248-1622,60657,IL,Chicago,3231 N. Clark Street,1,1,0
30,95957,791,414,Frasca,(773) 248-5222,60657,IL,Chicago,3358 N Paulina St,0,1,1,Kanela Breakfast Club,(773) 248-1622,60657,IL,Chicago,3231 N. Clark Street,1,1,0
31,387421,2640,1908,La Taqueria,(415) 285-7117,94110,CA,San Francisco,2889 Mission St,0,1,1,Cha Cha Cha,(415) 824-1502,94110,CA,San Francisco,2327 Mission District Street,0,1,0
