id,Restaurant Name,Phone,Zipcode,State,City,Address,Has Delivery,Has Take-out,Has outdoor seating
1,Nini’s Deli,(312) 243-9822,60642,IL,Chicago,543 N Noble St,0,1,1
2,Garfield Park Conservatory,(312) 746-5100,60624,IL,Chicago,300 N Central Park,0,0,0
3,The Tamale Guy,,60622,IL,Chicago,Chicago,1,1,0
4,Puppet Bike,,60606,IL,Chicago,Chicago,0,0,0
5,Alinea,(312) 867-0110,60614,IL,Chicago,1723 N Halsted St,0,0,0
6,Katherine Anne Confections,(773) 245-1630,60647,IL,Chicago,2745 W Armitage Ave,0,1,0
7,Spinning J Bakery and Soda Fountain,(872) 829-2793,60622,IL,Chicago,1000 N California Ave,0,1,1
8,Kai Zan,(773) 278-5776,60622,IL,Chicago,2557 W Chicago Ave,0,0,0
9,Two Hearted Queen,(773) 360-8189,60657,IL,Chicago,1201 W Roscoe St,0,1,0
10,Art Institute of Chicago,(312) 443-3600,60603,IL,Chicago,111 S Michigan Ave,0,0,0
11,Taco Bell,(773) 281-5063,60614,IL,Chicago,2575 North Clybourn,0,1,1
12,Chicago Pizza Tours,(888) 210-3237,60603,IL,Chicago,Chicago,0,0,0
13,Ipsento,(773) 904-8177,60647,IL,Chicago,2035 N Western Ave,0,1,1
14,Oriole,(312) 877-5339,60661,IL,Chicago,661 W. Walnut St.,0,0,0
15,En Hakkore,(773) 772-9880,60647,IL,Chicago,1840 N Damen Ave,0,1,0
16,J.P. Graziano Grocery Co.,(312) 666-4587,60607,IL,Chicago,901 W Randolph St,1,1,1
17,Eva’s Cafe,(312) 280-8900,60610,IL,Chicago,1447 N Sedgwick,0,1,0
18,Lincoln Park Alfred Caldwell Lily Pool,,60689,IL,Chicago,Fullerton Pkwy and Cannon Dr,0,0,0
19,Millennium Park,(312) 742-1168,60602,IL,Chicago,201 E Randolph St,0,0,0
20,Bavette’s Bar & Boeuf,(312) 624-8154,60654,IL,Chicago,218 W Kinzie St,0,0,0
21,Bari,(312) 666-0730,60642,IL,Chicago,1120 W Grand Ave,1,1,0
22,B.L.U.E.S.,(773) 528-1012,60614,IL,Chicago,2519 N Halsted St,0,0,0
23,Ipsento 606,(872) 206-8697,60647,IL,Chicago,1813 N Milwaukee Ave,0,1,0
24,Sip Coffee House & Garden,(312) 563-1123,60642,IL,Chicago,1223 W Grand Ave,0,1,1
25,The Cloud Gate,(312) 742-1168,60602,IL,Chicago,201 E Randolph St,0,0,0
26,Cup & Cup,(773) 697-4421,60647,IL,Chicago,2415 W North Ave,0,1,0
27,Lincoln Park Conservatory,(312) 742-7736,60614,IL,Chicago,2391 N Stockton Dr,0,0,0
28,Star Lounge Coffee Bar,(773) 384-7827,60622,IL,Chicago,2521 W Chicago Ave,0,1,1
29,Girl & the Goat,(312) 492-6262,60607,IL,Chicago,809 W Randolph St,0,0,1
30,Loop Juice,(312) 775-0208,60661,IL,Chicago,131 N Clinton St,0,1,0
31,The Wormhole Coffee,(773) 661-2468,60622,IL,Chicago,1462 N Milwaukee Ave,0,1,1
32,El Habanero,(773) 227-9225,60647,IL,Chicago,3300 W Fullerton Ave,0,1,0
33,Bohemian House,(312) 955-0439,60654,IL,Chicago,11 W Illinois St,0,0,0
34,Vinnie’s Sub Shop,(312) 738-2985,60642,IL,Chicago,1204 W Grand Ave,1,1,1
35,Scone City,(773) 904-8722,60622,IL,Chicago,1632 W Division St,1,1,1
36,Pi-Hi Cafe,(773) 472-7444,60618,IL,Chicago,3539 N Western Ave,1,1,0
37,Grace,(312) 234-9494,60661,IL,Chicago,652 W Randolph St,0,0,0
38,Rosa’s Lounge,(773) 342-0452,60647,IL,Chicago,3420 W Armitage Ave,0,0,0
39,UB Dogs,(312) 251-7009,60606,IL,Chicago,185 N Franklin St,1,1,1
40,The Chicago Diner,(773) 252-3211,60647,IL,Chicago,2333 N Milwaukee Ave,0,1,0
41,Loving Heart,(773) 561-5399,60613,IL,Chicago,838 W Montrose Ave,1,1,0
42,The Corned Beef Factory Sandwich Shop,(312) 666-2535,60607,IL,Chicago,1009 W Lake St,1,1,1
43,Joe’s Seafood,(312) 379-5637,60611,IL,Chicago,60 E Grand Ave,1,1,0
44,Ruxbin,(312) 624-8509,60622,IL,Chicago,851 N Ashland Ave,0,0,0
45,DAVIDsTEA,(773) 360-1320,60657,IL,Chicago,3530 N Southport,0,1,0
46,The Coffee & Tea,(773) 528-2241,60657,IL,Chicago,3311 N Broadway,0,1,1
47,Fogo de Chão Brazilian Steakhouse,(312) 932-9330,60654,IL,Chicago,661 N Lasalle Blvd,0,0,0
48,Puesto Sandwich Stand,(773) 661-2490,60657,IL,Chicago,3349 N Sheffield Ave,0,1,1
49,D’amato’s Bakery,(312) 733-5456,60622,IL,Chicago,1124 W Grand Ave,0,1,1
50,Flub A Dub Chub’s,(773) 857-6500,60657,IL,Chicago,3021 N Broadway,1,1,1
51,The Bento Box,(773) 278-3932,60647,IL,Chicago,2246 W Armitage Ave,1,1,0
52,Paciugo Broadway,(773) 248-8433,60657,IL,Chicago,3241 N Broadway St,0,1,1
53,Panes Bread Cafe,(773) 665-0972,60657,IL,Chicago,3002 N Sheffield Ave,1,1,1
54,Zizi’s Cafe,(773) 697-9228,60657,IL,Chicago,2825 N Sheffield Ave,1,1,1
55,Lowcountry,(773) 996-9997,60657,IL,Chicago,3343 N Clark St,0,1,0
56,De Quay,(872) 206-8820,60614,IL,Chicago,2470 N Lincoln Ave,0,0,0
57,Antico,(773) 489-4895,60647,IL,Chicago,1946 N Leavitt St,0,1,1
58,Fatso’s Last Stand,(773) 245-3287,60622,IL,Chicago,2258 W Chicago Ave,1,1,1
59,The Office,(312) 226-0868,60607,IL,Chicago,955 W Fulton Market,0,0,0
60,Au Cheval,(312) 929-4580,60607,IL,Chicago,800 W Randolph S,0,0,0
61,Serai,(872) 206-8368,60647,IL,Chicago,2169 N Milwaukee Ave,1,1,0
62,Yuzu Sushi & Robata Grill,(312) 666-4100,60622,IL,Chicago,1751 W Chicago Ave,1,1,0
63,Adams Playground Park,(312) 742-7787,60614,IL,Chicago,1919 N Seminary,0,0,0
64,Big Shoulders Coffee,(312) 888-3042,60642,IL,Chicago,1105 W Chicago Ave,0,1,0
65,Everybody’s Coffee,(773) 303-6220,60640,IL,Chicago,935 W Wilson Ave,0,1,0
66,Mana Food Bar,(773) 342-1742,60622,IL,Chicago,1742 W Division St,1,1,1
67,Staropolska Restaurant,(773) 342-0779,60618,IL,Chicago,3030 N Milwaukee Ave,1,1,0
68,DAVIDsTEA,(773) 697-9737,60647,IL,Chicago,1645A N Damen Ave,0,1,0
69,Upton’s Breakroom,(312) 666-7838,60612,IL,Chicago,2054 W Grand Ave,1,1,0
70,Casa Yari,(773) 661-9546,60647,IL,Chicago,3268 W Fullerton Ave,0,1,0
71,Caffe Umbria,(312) 877-5166,60654,IL,Chicago,346 N Clark St,0,1,0
72,Lotus Cafe & Juice Bar,(312) 733-7595,60607,IL,Chicago,719 W Maxwell St,1,1,1
73,Viaggio Ristorante & Lounge,(312) 829-3333,60607,IL,Chicago,1330 W Madison St,0,1,1
74,The Empty Bottle,(773) 276-3600,60622,IL,Chicago,1035 N Western Ave,0,0,0
75,Penumbra Wine Bar,(773) 772-2343,60647,IL,Chicago,3309 w Fullerton ave,0,1,0
76,Arbor,(312) 866-0795,60647,IL,Chicago,2545 W Diversey Ave,0,1,0
77,Inspiration Kitchens,(773) 801-1110,60624,IL,Chicago,3504 W Lake St,0,1,0
78,Ada Street,(773) 697-7069,60642,IL,Chicago,1664 N Ada St,0,0,1
79,TWO,(312) 624-8363,60642,IL,Chicago,1132 W Grand Ave,0,1,1
80,Pollo Express,(312) 829-1550,60608,IL,Chicago,1315 W 18th St,1,1,0
81,Beezzee,(773) 525-3570,60657,IL,Chicago,2807 N Sheffield Ave,1,1,1
82,Sapori Trattoria,(312) 967-9358,60614,IL,Chicago,2701 N Halsted St,0,1,1
83,Saucy Porka,(312) 662-1351,60605,IL,Chicago,400 S Financial Pl,1,1,0
84,The Violet Hour,(773) 252-1500,60622,IL,Chicago,1520 N Damen Ave,0,0,0
85,Gyros On The Spit,(773) 698-7999,60657,IL,Chicago,2826 N Lincoln Ave,1,1,1
86,HQ Howard Quintero,(773) 654-1629,60618,IL,Chicago,4114 N Kedzie Ave,0,1,0
87,Interurban Cafe and Pastry Shop,(773) 698-7739,60614,IL,Chicago,2008 N Halsted St,0,1,1
88,Bang Bang Pie & Biscuits,(773) 276-8888,60647,IL,Chicago,2051 N California Ave,1,1,1
89,Chicago Raw,(312) 831-2729,60661,IL,Chicago,131 N Clinton St,0,1,0
90,MK Restaurant,(312) 482-9179,60610,IL,Chicago,868 N Franklin St,0,0,0
