,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating,Label,predicted,restaurant_name,phone,zipcode,state,city,address,delivery,takeout,outdoor_seating
512,McSorley’s Old Ale House,(212) 473-9148,10003,NY,New York,15 E 7th St,0,0,0,McSorley's Old Ale House,(212) 473-9148,10003,NY,New York,15 E 7th Street,0,0,0,1,1,,,,,,,,,
4,El Techo,(415) 550-6970,94110,CA,San Francisco,2518 Mission St,0,1,1,El Techo de Lolinda,(415) 550-6970,94110,CA,San Francisco,2518 Mission District Street,0,0,1,1,1,,,,,,,,,
1030,Phat Philly,(415) 550-7428,94110,CA,San Francisco,3388 24th St,1,1,1,Phat Philly Cheesesteaks,(415) 550-7428,94110,CA,San Francisco,3388 24th Street,0,1,1,1,1,,,,,,,,,
1031,Samovar Tea Lounge,(415) 227-9400,94103,CA,San Francisco,730 Howard St,1,1,1,Samovar Tea Lounge,(415) 227-9400,94103,CA,San Francisco,730 Howard Street,0,1,1,1,1,,,,,,,,,
8,Bean Bag Cafe,(415) 563-3634,94117,CA,San Francisco,601 Divisadero St,0,1,1,Bean Bag Cafe,(415) 563-3634,94117,CA,San Francisco,601 Divisadero Street,0,0,1,1,1,,,,,,,,,
521,Yuzuki Japanese Eatery,(415) 556-9898,94110,CA,San Francisco,598 Guerrero St,0,0,0,Yuzuki Japanese Eatery,(415) 556-9898,94110,CA,San Francisco,598 Guerrero Street,0,1,0,1,1,,,,,,,,,
522,Pearl Oyster Bar,(212) 691-8211,10014,NY,New York,18 Cornelia St,0,1,0,Pearl Oyster Bar,(212) 691-8211,10014,NY,New York,18 Cornelia Street,0,0,0,1,1,,,,,,,,,
523,Bricks,(312) 255-0851,60614,IL,Chicago,1909 N Lincoln Ave,1,1,0,Bricks,(312) 255-0851,60614,IL,Chicago,1909 N Lincoln Avenue,1,1,0,1,1,,,,,,,,,
12,Summer House,(773) 634-4100,60614,IL,Chicago,1954 N Halsted St,0,1,1,Summer House Santa Monica,(773) 634-4100,60614,IL,Chicago,1954 N Halsted Street,0,1,1,1,1,,,,,,,,,
955,Devon Seafood Grill,(312) 440-8660,60611,IL,Chicago,39 E Chicago Ave,0,1,0,Devon Seafood Grill,(312) 440-8660,60611,IL,Chicago,39 E Chicago Avenue,0,1,1,1,1,,,,,,,,,
15,Pancho Villa Taqueria,(415) 864-8840,94103,CA,San Francisco,3071 16th St,0,1,0,Pancho Villa Taqueria,(415) 864-8840,94103,CA,San Francisco,3071 16th Street,0,1,0,1,1,,,,,,,,,
16,Nishino,(206) 322-5800,98112,WA,Seattle,3130 E Madison St,0,1,0,Nishino,(206) 322-5800,98112,WA,Seattle,3130 East Madison Street,0,1,0,1,1,,,,,,,,,
529,Blue Bottle Coffee,(510) 653-3394,94102,CA,San Francisco,315 Linden St,0,1,1,Blue Bottle Coffee Kiosk,(415) 252-7535,94102,CA,San Francisco,315 Linden Street,0,0,1,1,1,,,,,,,,,
19,Friends Sushi,(312) 787-8998,60611,IL,Chicago,710 N Rush St,1,1,1,Friends Sushi,(312) 787-8998,60611,IL,Chicago,710 North Rush Street,0,1,1,1,1,,,,,,,,,
1044,Il Mulino,(212) 673-3783,10012,NY,New York,86 W 3rd St,1,1,0,Il Mulino,(212) 673-3783,10012,NY,New York,86 West 3rd Street,0,0,0,1,1,,,,,,,,,
716,Stan’s Donuts & Coffee,(773) 360-7386,60622,IL,Chicago,1560 N Damen Ave,0,1,0,Stan's Donuts,(773) 360-7386,60622,IL,Chicago,1560 N. Damen Avenue,1,1,0,1,1,,,,,,,,,
1046,Tanta,(312) 222-9700,60654,IL,Chicago,118 W Grand Ave,0,0,1,Tanta,(312) 222-9700,60654,IL,Chicago,118 West Grand Avenue,0,0,0,1,1,,,,,,,,,
1047,Green Street Smoked Meats,(312) 754-0431,60607,IL,Chicago,112 N Green St,1,1,1,Green Street Smoked Meats,(312) 754-0434,60607,IL,Chicago,112 N Green Street,0,1,0,1,1,,,,,,,,,
516,Four Barrel Coffee,(415) 252-0800,94103,CA,San Francisco,375 Valencia St,0,1,1,Four Barrel,(415) 252-0800,94103,CA,San Francisco,375 Valencia Street,0,1,1,1,1,,,,,,,,,
1050,Tango Sur,(773) 477-5466,60613,IL,Chicago,3763 N Southport Ave,0,1,1,Tango Sur,(773) 477-5466,60613,IL,Chicago,3763 North Southport Avenue,0,1,1,1,1,,,,,,,,,
541,Nico Osteria,(312) 994-7100,60611,IL,Chicago,1015 N Rush St,0,0,1,Nico Osteria - Thomson Hotels Chicago,(312) 994-7100,60611,IL,Chicago,1015 N. Rush Street,0,0,1,1,1,,,,,,,,,
1054,The Purple Pig,(312) 464-1744,60611,IL,Chicago,500 N Michigan Ave,0,0,1,The Purple Pig,(312) 464-1744,60611,IL,Chicago,500 N Michigan Avenue,0,1,1,1,1,,,,,,,,,
1040,Sushi Zone,(415) 621-1114,94103,CA,San Francisco,1815 Market St,0,0,0,Sushi Zone,(415) 621-1114,94103,CA,San Francisco,1815 Market Street,0,0,0,1,1,,,,,,,,,
34,Jim’s Original Hot Dog,(312) 733-7820,60607,IL,Chicago,1250 S Union Ave,0,1,0,Jim's Original,(312) 733-7820,60607,IL,Chicago,1250 S Union Avenue,0,1,0,1,1,,,,,,,,,
39,Balzem,(646) 837-7033,10012,NY,New York,202 Mott St,1,1,1,Balzem,(646) 837-7033,10012,NY,New York,202 Mott Street,1,1,1,1,1,,,,,,,,,
948,Osteria La Madia,(312) 329-0400,60654,IL,Chicago,59 W Grand Ave,1,1,0,Osteria La Madia,(312) 329-0400,60654,IL,Chicago,59 W Grand Avenue,0,1,0,1,1,,,,,,,,,
41,Macku Sushi,(773) 880-8012,60614,IL,Chicago,2239 N Clybourn Ave,1,1,0,Macku Sushi,(773) 880-8012,60614,IL,Chicago,2239 N Clybourn Avenue,1,1,0,1,1,,,,,,,,,
555,Swan Oyster Depot,(415) 673-1101,94109,CA,San Francisco,1517 Polk St,0,1,0,Swan Oyster Depot,(415) 673-1101,94109,CA,San Francisco,1517 Polk Street,0,1,0,1,1,,,,,,,,,
1069,RL Restaurant,(312) 475-1100,60611,IL,Chicago,115 E Chicago Ave,0,0,1,Ralph Lauren Bar & Grill,(312) 475-1100,60611,IL,Chicago,115 E Chicago Avenue,0,1,1,1,1,,,,,,,,,
46,Macrina Bakery & Cafe,(206) 448-4032,98121,WA,Seattle,2408 1st Ave,0,1,1,Macrina Bakery,(206) 448-4032,98121,WA,Seattle,2408 1st Avenue,0,1,1,1,1,,,,,,,,,
605,Vanessa’s Dumpling House,(212) 625-8008,10002,NY,New York,118A Eldridge St,0,1,0,Vanessa's Dumpling House,(212) 625-8008,10002,NY,New York,118A Eldridge Street,0,1,0,1,1,,,,,,,,,
1072,Chicago Bagel Authority,(773) 248-9606,60614,IL,Chicago,953 W Armitage Ave,1,1,1,Chicago Bagel Authority,(773) 248-9606,60614,IL,Chicago,953 W. Armitage Avenue,1,1,0,1,1,,,,,,,,,
562,Lockdown Bar &  Grill,(773) 451-5625,60622,IL,Chicago,1024 N Western Ave,1,1,1,Lockdown Bar & Grill,(773) 451-5625,60622,IL,Chicago,1024 N. Western Avenue,0,1,1,1,1,,,,,,,,,
51,Davanti Enoteca,(312) 226-5550,60607,IL,Chicago,1359 W Taylor St,0,1,0,Davanti Enoteca,(312) 226-5550,60607,IL,Chicago,1359 W Taylor Street,0,1,0,1,1,,,,,,,,,
52,Cactus Restaurants,(206) 324-4140,98112,WA,Seattle,4220 E Madison St,0,1,1,Cactus,(206) 324-4140,98112,WA,Seattle,4220 East Madison Street,0,1,1,1,1,,,,,,,,,
54,Twin Anchors Restaurant & Tavern,(312) 266-1616,60614,IL,Chicago,1655 N Sedgwick St,0,1,1,Twin Anchors,(312) 266-1616,60614,IL,Chicago,1655 N. Sedgwick Street,0,1,1,1,1,,,,,,,,,
56,Sultan’s Market,(773) 235-3072,60647,IL,Chicago,2057 W North Ave,1,1,1,Sultan's Market,(773) 235-3072,60647,IL,Chicago,2057 W North Avenue,1,1,0,1,1,,,,,,,,,
706,Floriole Cafe & Bakery,(773) 883-1313,60614,IL,Chicago,1220 W Webster Ave,0,1,1,Floriole Cafe & Bakery,(773) 883-1313,60614,IL,Chicago,1220 W Webster Avenue,0,1,1,1,1,,,,,,,,,
60,Chefs Club by Food & Wine,(212) 941-1100,10012,NY,New York,275 Mulberry St,0,0,0,Chef's Club By Food and Wine,(212) 941-1100,10012,NY,New York,275 Mulberry Street,0,0,0,1,1,,,,,,,,,
61,Antique Taco,(773) 687-8697,60622,IL,Chicago,1360 N Milwaukee Ave,0,1,1,Antique Taco,(773) 687-8697,60622,IL,Chicago,1360 N. Milwaukee Avenue,0,1,0,1,1,,,,,,,,,
62,Little Star Pizza,(415) 551-7827,94103,CA,San Francisco,400 Valencia St,0,1,0,Little Star Pizza,(415) 551-7827,94103,CA,San Francisco,400 Valencia Street,0,1,0,1,1,,,,,,,,,
64,Acquerello,(415) 567-5432,94109,CA,San Francisco,1722 Sacramento St,0,0,0,Acquerello,(415) 567-5432,94109,CA,San Francisco,1722 Sacramento Street,0,0,0,1,1,,,,,,,,,
66,Anchor Oyster Bar,(415) 431-3990,94114,CA,San Francisco,579 Castro St,0,1,0,Anchor Oyster Bar,(415) 431-3990,94114,CA,San Francisco,579 Castro Street,0,1,1,1,1,,,,,,,,,
950,Skillet Capitol Hill,(206) 512-2001,98122,WA,Seattle,1400 E Union St,0,1,1,Skillet Diner,(206) 512-2001,98122,WA,Seattle,1400 East Union Street,0,1,1,1,1,,,,,,,,,
70,Riccardo Trattoria,(773) 549-0038,60614,IL,Chicago,2119 N Clark St,0,1,0,Riccardo Trattoria,(773) 549-0038,60614,IL,Chicago,2119 N. Clark Street,0,1,0,1,1,,,,,,,,,
583,Strip House,(212) 328-0000,10003,NY,New York,13 E 12th St,0,0,0,Strip House,(212) 328-0000,10003,NY,New York,13 E 12th Street,0,0,0,1,1,,,,,,,,,
584,Udupi Palace,(415) 970-8000,94110,CA,San Francisco,1007 Valencia St,1,1,0,Udupi Palace,(415) 970-8000,94110,CA,San Francisco,1007 Valencia Street,0,1,0,1,1,,,,,,,,,
1097,Kinzie Chophouse,(312) 822-0191,60654,IL,Chicago,400 N Wells St,1,1,1,Kinzie Chophouse,(312) 822-0191,60654,IL,Chicago,400 N Wells Street,1,1,1,1,1,,,,,,,,,
76,Le Bernardin,(212) 554-1515,10019,NY,New York,155 W 51st St,0,0,0,Le Bernardin,(212) 554-1515,10019,NY,New York,155 W 51st Street,0,0,0,1,1,,,,,,,,,
610,Capo’s Chicago Pizza,(415) 986-8998,94133,CA,San Francisco,641 Vallejo St,1,1,1,Capo's,(415) 986-8998,94133,CA,San Francisco,641 Vallejo Street,0,1,1,1,1,,,,,,,,,
78,Limón Rotisserie,(415) 821-2134,94110,CA,San Francisco,1001 S Van Ness Ave,0,1,0,Limon Rotisserie,(415) 821-2134,94110,CA,San Francisco,1001 South Van Ness Avenue,0,1,0,1,1,,,,,,,,,
781,Isa Restaurant,(415) 567-9588,94123,CA,San Francisco,3324 Steiner St,0,1,1,Isa,(415) 567-9588,94123,CA,San Francisco,3324 Steiner Street,0,0,0,1,1,,,,,,,,,
921,Benny’s Chop House,(312) 626-2444,60611,IL,Chicago,444 N Wabash Ave,0,1,0,Benny's Chop House,(312) 626-2444,60611,IL,Chicago,444 N. Wabash Avenue,0,1,0,1,1,,,,,,,,,
597,Maison Premiere,(347) 335-0446,11211,NY,Brooklyn,298 Bedford Ave,0,0,1,Maison Premiere,(347) 335-0446,11211,NY,Brooklyn,298 Bedford Avenue,0,0,1,1,1,,,,,,,,,
601,The Crumpet Shop,(206) 682-1598,98101,WA,Seattle,1503 1st Ave,0,1,1,The Crumpet Shop,(206) 682-1598,98101,WA,Seattle,1503 1st Avenue Pike Place Market,0,1,1,1,1,,,,,,,,,
91,The Art of Pizza,(773) 327-5600,60657,IL,Chicago,3033 N Ashland Ave,1,1,0,Art of Pizza,(773) 327-5600,60657,IL,Chicago,3033 North Ashland Avenue,1,1,0,1,1,,,,,,,,,
92,Alibi Room,(206) 623-3180,98101,WA,Seattle,85 Pike St,0,1,0,Alibi Room,(206) 623-3180,98101,WA,Seattle,Pike Place Market,0,1,0,1,1,,,,,,,,,
93,Nopalito,(415) 233-9966,94122,CA,San Francisco,1224 9th Ave,0,1,1,Nopalito,(415) 233-9966,94122,CA,San Francisco,1224 9th Avenue,0,1,1,1,1,,,,,,,,,
609,Maialino,(212) 777-2410,10010,NY,New York,2 Lexington Ave,0,0,0,Maialino At Gramercy Park Hotel,(212) 777-2410,10010,NY,New York,2 Lexington Avenue,0,0,0,1,1,,,,,,,,,
98,Carnivale,(312) 850-5005,60661,IL,Chicago,702 W Fulton Market,0,1,1,Carnivale,(312) 850-5005,60661,IL,Chicago,702 W Fulton Market,0,1,1,1,1,,,,,,,,,
611,The Chicago Diner,(773) 935-6696,60657,IL,Chicago,3411 N Halsted St,0,1,1,The Chicago Diner,(773) 935-6696,60657,IL,Chicago,3411 North Halsted Street,0,1,0,1,1,,,,,,,,,
101,BondSt,(212) 777-2500,10012,NY,New York,6 Bond St,0,0,0,BONDST,(212) 777-2500,10012,NY,New York,6 Bond Street,0,0,0,1,1,,,,,,,,,
103,The Map Room,(773) 252-7636,60647,IL,Chicago,1949 N Hoyne Ave,0,0,0,Map Room,(773) 252-7636,60647,IL,Chicago,1949 N. Hoyne Avenue,0,0,0,1,1,,,,,,,,,
617,Sapori Trattoria,(312) 967-9358,60614,IL,Chicago,2701 N Halsted St,0,1,1,Sapori Trattoria,(773) 832-9999,60614,IL,Chicago,2701 N Halsted Street,0,1,1,1,1,,,,,,,,,
622,Lucali,(718) 858-4086,11231,NY,Brooklyn,575 Henry St,0,1,0,Lucali,(718) 858-4086,11231,NY,Brooklyn,575 Henry Street,0,1,0,1,1,,,,,,,,,
872,Mama’s On Washington Square,(415) 362-6421,94133,CA,San Francisco,1701 Stockton St,0,0,0,Mama's on Washington Square,(415) 362-6421,94133,CA,San Francisco,1701 Stockton Street,0,0,0,1,1,,,,,,,,,
626,Paulie Gee’s,(347) 987-3747,11222,NY,Brooklyn,60 Greenpoint Ave,0,0,0,Paulie Gee's,(347) 987-3747,11222,NY,New York,60 Greenpoint Avenue,0,0,0,1,1,,,,,,,,,
531,Manora’s Thai Cuisine,(415) 861-6224,94103,CA,San Francisco,1600 Folsom St,1,1,0,Manora's Thai,(415) 861-6224,94103,CA,San Francisco,1600 Folsom Street,0,1,0,1,1,,,,,,,,,
116,Siena Tavern,(312) 595-1322,60654,IL,Chicago,51 W Kinzie St,0,1,1,Siena Tavern,(312) 595-1322,60654,IL,Chicago,51 West Kinzie Street,0,1,1,1,1,,,,,,,,,
