id,Name,Phone,Zipcode,State,City,Address,Delivery,Takeout,Outdoor_seating
1,Alinea,(312) 867-0110,60614,IL,Chicago,1723 N. Halsted Street,0,0,0
2,Signature Room at the 95th,(312) 787-9596,60611,IL,Chicago,875 N Michigan Avenue,0,0,0
3,Girl & the Goat,(312) 492-6262,60607,IL,Chicago,809 W Randolph Street,0,0,1
4,Portillo's,(312) 587-8910,60610,IL,Chicago,100 W Ontario Street,0,1,1
5,Giordano's,(312) 951-0747,60611,IL,Chicago,730 N Rush Street,1,1,1
6,The Purple Pig,(312) 464-1744,60611,IL,Chicago,500 N Michigan Avenue,0,1,1
7,Yolk,(312) 789-9655,60605,IL,Chicago,1120 S Michigan Avenue,0,1,0
8,Lou Malnati's Pizzeria,(312) 828-9800,60654,IL,Chicago,439 N Wells Street,1,1,1
9,Kuma's Corner,(773) 604-8769,60618,IL,Chicago,2900 W Belmont Avenue,0,1,1
10,Little Goat Diner,(312) 888-3455,60607,IL,Chicago,820 W Randolph Street,0,1,1
11,Bandera,(312) 644-3524,60611,IL,Chicago,535 N Michigan Avenue,0,1,0
12,Piece,(773) 772-4422,60622,IL,Chicago,1927 W North Avenue,1,1,0
13,The Publican,(312) 733-9555,60607,IL,Chicago,837 W Fulton Market,0,0,1
14,Chicago Pizza & Oven Grinder Company,(773) 248-2570,60614,IL,Chicago,2121 N Clark Street,0,1,0
15,Wildberry Pancakes & Cafe,(312) 938-9777,60601,IL,Chicago,130 E Randolph Street,0,1,0
16,Frontera Grill,(312) 661-1434,60654,IL,Chicago,445 North Clark Street,0,1,1
17,Eataly,(312) 521-8700,60611,IL,Chicago,43 East Ohio Street,0,1,0
18,Xoco,(312) 334-3688,60654,IL,Chicago,449 N Clark Street,1,1,0
19,Big Star,(773) 235-4039,60622,IL,Chicago,1531 N Damen Avenue,0,1,1
20,Pequod's Pizza,(773) 327-1512,60614,IL,Chicago,2207 N Clybourn Avenue,1,1,0
21,Grand Lux Cafe,(312) 276-2500,60611,IL,Chicago,600 N Michigan Avenue,0,1,0
22,Avec,(312) 377-2002,60661,IL,Chicago,615 W Randolph Street,0,1,0
23,Gino's East,(312) 266-3337,60611,IL,Chicago,162 E Superior Street,1,1,1
24,Quartino,(312) 698-5000,60654,IL,Chicago,626 N State Street,0,1,1
25,Billy Goat Tavern,(312) 222-1525,60611,IL,Chicago,430 N Michigan Avenue,0,1,0
26,Joe's Seafood,(312) 379-5637,60611,IL,Chicago,60 E Grand Avenue,1,1,0
27,Smoque BBQ,(773) 545-7427,60641,IL,Chicago,3800 N Pulaski Road,0,1,0
28,Cafe Iberico,(312) 573-1510,60610,IL,Chicago,739 N La Salle Drive,1,1,0
29,Blackbird,(312) 715-0708,60661,IL,Chicago,619 W Randolph Street,0,0,1
30,Lula Cafe,(773) 489-9554,60647,IL,Chicago,2537 N. Kedzie Boulevard,0,1,1
31,Carnivale,(312) 850-5005,60661,IL,Chicago,702 W Fulton Market,0,1,1
32,Gibsons Bar & Steakhouse,(312) 266-8999,60611,IL,Chicago,1028 N Rush Street,0,1,1
33,Mindy's Hot Chocolate,(773) 489-1747,60647,IL,Chicago,1747 N Damen Avenue,0,1,0
34,Eleven City Diner,(312) 212-1112,60605,IL,Chicago,1112 S Wabash Avenue,1,1,1
35,Hopleaf,(773) 334-9851,60640,IL,Chicago,5148 N Clark Street,0,1,0
36,The Gage,(312) 372-4243,60603,IL,Chicago,24 S Michigan Avenue,0,1,1
37,Topolobampo,(312) 661-1434,60654,IL,Chicago,445 North Clark Street,0,0,1
38,Pizzeria Uno,(312) 321-1000,60611,IL,Chicago,29 E Ohio Street,1,1,1
39,Heaven on Seven,(630) 717-0777,60540,IL,Chicago,224 S Main Street,1,1,0
40,Bob Chinn's Crab House,(847) 520-3633,60090,IL,Chicago,393 S Milwaukee Avenue,0,1,0
41,Shaw's Crab House,(312) 527-2722,60611,IL,Chicago,21 E Hubbard Street,0,1,0
42,Longman & Eagle,(773) 276-7110,60647,IL,Chicago,2657 N Kedzie Avenue,0,0,1
43,Harry Caray's Italian Steakhouse & Bar,(312) 828-0966,60654,IL,Chicago,33 W Kinzie Street,0,1,1
44,Weber Grill Restaurant,(312) 467-9696,60654,IL,Chicago,539 North State Street,0,1,1
45,Greek Islands,(312) 782-9855,60661,IL,Chicago,200 S Halsted Street,0,1,1
46,Hub 51,(312) 828-0051,60654,IL,Chicago,51 West Hubbard Street,1,1,1
47,Sunda,(312) 644-0500,60654,IL,Chicago,110 West Illinois Street,0,1,1
48,Italian Village,(312) 332-7005,60603,IL,Chicago,71 W Monroe Street Italian Village,1,1,0
49,Superdawg Drive-in,(773) 763-0660,60646,IL,Chicago,6363 N. Milwaukee Avenue,0,1,1
50,Tango Sur,(773) 477-5466,60613,IL,Chicago,3763 North Southport Avenue,0,1,1
51,The Chicago Diner,(773) 935-6696,60657,IL,Chicago,3411 North Halsted Street,0,1,0
52,Mercat a la Planxa,(312) 765-0524,60605,IL,Chicago,638 S Michigan Avenue,0,1,1
53,Mike Ditka's - The Tremont,(312) 587-8989,60611,IL,Chicago,100 E Chestnut Street,0,1,1
54,Volare,(312) 410-9900,60611,IL,Chicago,201 E Grand Avenue,0,1,1
